{'baseline-error': 0.011, 'self-trained-error': 0.0045, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 0}
{'baseline-error': 0.031, 'self-trained-error': 0.012, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 1}
{'baseline-error': 0.006, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 2}
{'baseline-error': 0.0085, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 3}
{'baseline-error': 0.012, 'self-trained-error': 0.008, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 4}
{'baseline-error': 0.0235, 'self-trained-error': 0.011, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 5}
{'baseline-error': 0.0135, 'self-trained-error': 0.0125, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 6}
{'baseline-error': 0.0135, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 7}
{'baseline-error': 0.011, 'self-trained-error': 0.0075, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 8}
{'baseline-error': 0.015, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 9}
{'baseline-error': 0.011, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 10}
{'baseline-error': 0.0275, 'self-trained-error': 0.0125, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 11}
{'baseline-error': 0.0165, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 12}
{'baseline-error': 0.022, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 13}
{'baseline-error': 0.0165, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 14}
{'baseline-error': 0.011, 'self-trained-error': 0.0085, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 15}
{'baseline-error': 0.0215, 'self-trained-error': 0.01, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 16}
{'baseline-error': 0.018, 'self-trained-error': 0.008, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 17}
{'baseline-error': 0.014, 'self-trained-error': 0.0115, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 18}
{'baseline-error': 0.034, 'self-trained-error': 0.0155, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 19}
{'baseline-error': 0.014, 'self-trained-error': 0.0095, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 20}
{'baseline-error': 0.0265, 'self-trained-error': 0.01, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 21}
{'baseline-error': 0.019, 'self-trained-error': 0.0105, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 22}
{'baseline-error': 0.0155, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 23}
{'baseline-error': 0.024, 'self-trained-error': 0.0055, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 24}
{'baseline-error': 0.0275, 'self-trained-error': 0.0075, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 25}
{'baseline-error': 0.03, 'self-trained-error': 0.0105, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 26}
{'baseline-error': 0.015, 'self-trained-error': 0.01, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 27}
{'baseline-error': 0.0255, 'self-trained-error': 0.008, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 28}
{'baseline-error': 0.012, 'self-trained-error': 0.0095, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 29}
{'baseline-error': 0.0075, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 30}
