{'baseline-error': 0.1845, 'self-trained-error': 0.1635, 'p': 0.15000000000000002, 'mu': 2, 'iter': 0}
{'baseline-error': 0.108, 'self-trained-error': 0.103, 'p': 0.15000000000000002, 'mu': 2, 'iter': 1}
{'baseline-error': 0.136, 'self-trained-error': 0.1245, 'p': 0.15000000000000002, 'mu': 2, 'iter': 2}
{'baseline-error': 0.1295, 'self-trained-error': 0.114, 'p': 0.15000000000000002, 'mu': 2, 'iter': 3}
{'baseline-error': 0.1285, 'self-trained-error': 0.1125, 'p': 0.15000000000000002, 'mu': 2, 'iter': 4}
{'baseline-error': 0.1685, 'self-trained-error': 0.127, 'p': 0.15000000000000002, 'mu': 2, 'iter': 5}
{'baseline-error': 0.1345, 'self-trained-error': 0.1015, 'p': 0.15000000000000002, 'mu': 2, 'iter': 6}
{'baseline-error': 0.134, 'self-trained-error': 0.122, 'p': 0.15000000000000002, 'mu': 2, 'iter': 7}
{'baseline-error': 0.117, 'self-trained-error': 0.11, 'p': 0.15000000000000002, 'mu': 2, 'iter': 8}
{'baseline-error': 0.1835, 'self-trained-error': 0.1355, 'p': 0.15000000000000002, 'mu': 2, 'iter': 9}
{'baseline-error': 0.1175, 'self-trained-error': 0.0985, 'p': 0.15000000000000002, 'mu': 2, 'iter': 10}
{'baseline-error': 0.1105, 'self-trained-error': 0.1, 'p': 0.15000000000000002, 'mu': 2, 'iter': 11}
{'baseline-error': 0.12, 'self-trained-error': 0.106, 'p': 0.15000000000000002, 'mu': 2, 'iter': 12}
{'baseline-error': 0.1305, 'self-trained-error': 0.105, 'p': 0.15000000000000002, 'mu': 2, 'iter': 13}
{'baseline-error': 0.1535, 'self-trained-error': 0.116, 'p': 0.15000000000000002, 'mu': 2, 'iter': 14}
{'baseline-error': 0.1675, 'self-trained-error': 0.1735, 'p': 0.15000000000000002, 'mu': 2, 'iter': 15}
{'baseline-error': 0.123, 'self-trained-error': 0.1035, 'p': 0.15000000000000002, 'mu': 2, 'iter': 16}
{'baseline-error': 0.1805, 'self-trained-error': 0.1435, 'p': 0.15000000000000002, 'mu': 2, 'iter': 17}
{'baseline-error': 0.1675, 'self-trained-error': 0.169, 'p': 0.15000000000000002, 'mu': 2, 'iter': 18}
{'baseline-error': 0.1825, 'self-trained-error': 0.1795, 'p': 0.15000000000000002, 'mu': 2, 'iter': 19}
{'baseline-error': 0.123, 'self-trained-error': 0.106, 'p': 0.15000000000000002, 'mu': 2, 'iter': 20}
{'baseline-error': 0.1335, 'self-trained-error': 0.1305, 'p': 0.15000000000000002, 'mu': 2, 'iter': 21}
{'baseline-error': 0.1765, 'self-trained-error': 0.1765, 'p': 0.15000000000000002, 'mu': 2, 'iter': 22}
{'baseline-error': 0.19, 'self-trained-error': 0.182, 'p': 0.15000000000000002, 'mu': 2, 'iter': 23}
{'baseline-error': 0.097, 'self-trained-error': 0.084, 'p': 0.15000000000000002, 'mu': 2, 'iter': 24}
{'baseline-error': 0.0855, 'self-trained-error': 0.0865, 'p': 0.15000000000000002, 'mu': 2, 'iter': 25}
{'baseline-error': 0.094, 'self-trained-error': 0.0865, 'p': 0.15000000000000002, 'mu': 2, 'iter': 26}
{'baseline-error': 0.125, 'self-trained-error': 0.1225, 'p': 0.15000000000000002, 'mu': 2, 'iter': 27}
{'baseline-error': 0.118, 'self-trained-error': 0.1165, 'p': 0.15000000000000002, 'mu': 2, 'iter': 28}
{'baseline-error': 0.132, 'self-trained-error': 0.137, 'p': 0.15000000000000002, 'mu': 2, 'iter': 29}
{'baseline-error': 0.1875, 'self-trained-error': 0.144, 'p': 0.15000000000000002, 'mu': 2, 'iter': 30}
{'baseline-error': 0.135, 'self-trained-error': 0.127, 'p': 0.15000000000000002, 'mu': 2, 'iter': 31}
{'baseline-error': 0.1595, 'self-trained-error': 0.159, 'p': 0.15000000000000002, 'mu': 2, 'iter': 32}
{'baseline-error': 0.1505, 'self-trained-error': 0.147, 'p': 0.15000000000000002, 'mu': 2, 'iter': 33}
{'baseline-error': 0.184, 'self-trained-error': 0.157, 'p': 0.15000000000000002, 'mu': 2, 'iter': 34}
