{'baseline-error': 0.0965, 'self-trained-error': 0.0915, 'p': 0.25000000000000006, 'mu': 2, 'iter': 50}
{'baseline-error': 0.0975, 'self-trained-error': 0.085, 'p': 0.25000000000000006, 'mu': 2, 'iter': 51}
{'baseline-error': 0.134, 'self-trained-error': 0.113, 'p': 0.25000000000000006, 'mu': 2, 'iter': 52}
{'baseline-error': 0.092, 'self-trained-error': 0.0895, 'p': 0.25000000000000006, 'mu': 2, 'iter': 53}
{'baseline-error': 0.09, 'self-trained-error': 0.0885, 'p': 0.25000000000000006, 'mu': 2, 'iter': 54}
{'baseline-error': 0.093, 'self-trained-error': 0.0885, 'p': 0.25000000000000006, 'mu': 2, 'iter': 55}
{'baseline-error': 0.1145, 'self-trained-error': 0.113, 'p': 0.25000000000000006, 'mu': 2, 'iter': 56}
{'baseline-error': 0.123, 'self-trained-error': 0.118, 'p': 0.25000000000000006, 'mu': 2, 'iter': 57}
{'baseline-error': 0.092, 'self-trained-error': 0.0865, 'p': 0.25000000000000006, 'mu': 2, 'iter': 58}
{'baseline-error': 0.085, 'self-trained-error': 0.084, 'p': 0.25000000000000006, 'mu': 2, 'iter': 59}
{'baseline-error': 0.0725, 'self-trained-error': 0.068, 'p': 0.25000000000000006, 'mu': 2, 'iter': 60}
{'baseline-error': 0.12, 'self-trained-error': 0.1085, 'p': 0.25000000000000006, 'mu': 2, 'iter': 61}
{'baseline-error': 0.103, 'self-trained-error': 0.1035, 'p': 0.25000000000000006, 'mu': 2, 'iter': 62}
{'baseline-error': 0.085, 'self-trained-error': 0.082, 'p': 0.25000000000000006, 'mu': 2, 'iter': 63}
{'baseline-error': 0.0765, 'self-trained-error': 0.0775, 'p': 0.25000000000000006, 'mu': 2, 'iter': 64}
{'baseline-error': 0.1145, 'self-trained-error': 0.1105, 'p': 0.25000000000000006, 'mu': 2, 'iter': 65}
{'baseline-error': 0.1005, 'self-trained-error': 0.0965, 'p': 0.25000000000000006, 'mu': 2, 'iter': 66}
{'baseline-error': 0.1075, 'self-trained-error': 0.0885, 'p': 0.25000000000000006, 'mu': 2, 'iter': 67}
{'baseline-error': 0.107, 'self-trained-error': 0.1045, 'p': 0.25000000000000006, 'mu': 2, 'iter': 68}
{'baseline-error': 0.0945, 'self-trained-error': 0.093, 'p': 0.25000000000000006, 'mu': 2, 'iter': 69}
{'baseline-error': 0.1145, 'self-trained-error': 0.103, 'p': 0.25000000000000006, 'mu': 2, 'iter': 70}
{'baseline-error': 0.0895, 'self-trained-error': 0.0865, 'p': 0.25000000000000006, 'mu': 2, 'iter': 71}
{'baseline-error': 0.1105, 'self-trained-error': 0.1095, 'p': 0.25000000000000006, 'mu': 2, 'iter': 72}
{'baseline-error': 0.1045, 'self-trained-error': 0.1025, 'p': 0.25000000000000006, 'mu': 2, 'iter': 73}
{'baseline-error': 0.1335, 'self-trained-error': 0.116, 'p': 0.25000000000000006, 'mu': 2, 'iter': 74}
{'baseline-error': 0.0865, 'self-trained-error': 0.0735, 'p': 0.25000000000000006, 'mu': 2, 'iter': 75}
{'baseline-error': 0.13, 'self-trained-error': 0.105, 'p': 0.25000000000000006, 'mu': 2, 'iter': 76}
{'baseline-error': 0.086, 'self-trained-error': 0.0835, 'p': 0.25000000000000006, 'mu': 2, 'iter': 77}
{'baseline-error': 0.105, 'self-trained-error': 0.1, 'p': 0.25000000000000006, 'mu': 2, 'iter': 78}
{'baseline-error': 0.09, 'self-trained-error': 0.085, 'p': 0.25000000000000006, 'mu': 2, 'iter': 79}
{'baseline-error': 0.1085, 'self-trained-error': 0.109, 'p': 0.25000000000000006, 'mu': 2, 'iter': 80}
{'baseline-error': 0.095, 'self-trained-error': 0.0955, 'p': 0.25000000000000006, 'mu': 2, 'iter': 81}
{'baseline-error': 0.0775, 'self-trained-error': 0.0785, 'p': 0.25000000000000006, 'mu': 2, 'iter': 82}
{'baseline-error': 0.092, 'self-trained-error': 0.0885, 'p': 0.25000000000000006, 'mu': 2, 'iter': 83}
{'baseline-error': 0.092, 'self-trained-error': 0.094, 'p': 0.25000000000000006, 'mu': 2, 'iter': 84}
{'baseline-error': 0.094, 'self-trained-error': 0.09, 'p': 0.25000000000000006, 'mu': 2, 'iter': 85}
{'baseline-error': 0.1095, 'self-trained-error': 0.1005, 'p': 0.25000000000000006, 'mu': 2, 'iter': 86}
{'baseline-error': 0.103, 'self-trained-error': 0.0945, 'p': 0.25000000000000006, 'mu': 2, 'iter': 87}
{'baseline-error': 0.1035, 'self-trained-error': 0.1005, 'p': 0.25000000000000006, 'mu': 2, 'iter': 88}
{'baseline-error': 0.0905, 'self-trained-error': 0.0905, 'p': 0.25000000000000006, 'mu': 2, 'iter': 89}
{'baseline-error': 0.104, 'self-trained-error': 0.0835, 'p': 0.25000000000000006, 'mu': 2, 'iter': 90}
{'baseline-error': 0.1085, 'self-trained-error': 0.1095, 'p': 0.25000000000000006, 'mu': 2, 'iter': 91}
{'baseline-error': 0.107, 'self-trained-error': 0.1055, 'p': 0.25000000000000006, 'mu': 2, 'iter': 92}
{'baseline-error': 0.1095, 'self-trained-error': 0.1005, 'p': 0.25000000000000006, 'mu': 2, 'iter': 93}
{'baseline-error': 0.0825, 'self-trained-error': 0.086, 'p': 0.25000000000000006, 'mu': 2, 'iter': 94}
{'baseline-error': 0.09, 'self-trained-error': 0.0865, 'p': 0.25000000000000006, 'mu': 2, 'iter': 95}
{'baseline-error': 0.1465, 'self-trained-error': 0.136, 'p': 0.25000000000000006, 'mu': 2, 'iter': 96}
{'baseline-error': 0.091, 'self-trained-error': 0.0895, 'p': 0.25000000000000006, 'mu': 2, 'iter': 97}
{'baseline-error': 0.0945, 'self-trained-error': 0.079, 'p': 0.25000000000000006, 'mu': 2, 'iter': 98}
{'baseline-error': 0.1415, 'self-trained-error': 0.134, 'p': 0.25000000000000006, 'mu': 2, 'iter': 99}
