{'baseline-error': 0.06, 'self-trained-error': 0.042, 'p': 0.25000000000000006, 'mu': 3, 'iter': 400}
{'baseline-error': 0.0175, 'self-trained-error': 0.017, 'p': 0.25000000000000006, 'mu': 3, 'iter': 401}
{'baseline-error': 0.017, 'self-trained-error': 0.011, 'p': 0.25000000000000006, 'mu': 3, 'iter': 402}
{'baseline-error': 0.0255, 'self-trained-error': 0.021, 'p': 0.25000000000000006, 'mu': 3, 'iter': 403}
{'baseline-error': 0.0245, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 404}
{'baseline-error': 0.0205, 'self-trained-error': 0.017, 'p': 0.25000000000000006, 'mu': 3, 'iter': 405}
{'baseline-error': 0.029, 'self-trained-error': 0.0145, 'p': 0.25000000000000006, 'mu': 3, 'iter': 406}
{'baseline-error': 0.0255, 'self-trained-error': 0.0235, 'p': 0.25000000000000006, 'mu': 3, 'iter': 407}
{'baseline-error': 0.0235, 'self-trained-error': 0.0145, 'p': 0.25000000000000006, 'mu': 3, 'iter': 408}
{'baseline-error': 0.034, 'self-trained-error': 0.03, 'p': 0.25000000000000006, 'mu': 3, 'iter': 409}
{'baseline-error': 0.03, 'self-trained-error': 0.0245, 'p': 0.25000000000000006, 'mu': 3, 'iter': 410}
{'baseline-error': 0.021, 'self-trained-error': 0.0175, 'p': 0.25000000000000006, 'mu': 3, 'iter': 411}
{'baseline-error': 0.013, 'self-trained-error': 0.014, 'p': 0.25000000000000006, 'mu': 3, 'iter': 412}
{'baseline-error': 0.026, 'self-trained-error': 0.0195, 'p': 0.25000000000000006, 'mu': 3, 'iter': 413}
{'baseline-error': 0.028, 'self-trained-error': 0.028, 'p': 0.25000000000000006, 'mu': 3, 'iter': 414}
{'baseline-error': 0.0275, 'self-trained-error': 0.021, 'p': 0.25000000000000006, 'mu': 3, 'iter': 415}
{'baseline-error': 0.0395, 'self-trained-error': 0.039, 'p': 0.25000000000000006, 'mu': 3, 'iter': 416}
{'baseline-error': 0.0175, 'self-trained-error': 0.017, 'p': 0.25000000000000006, 'mu': 3, 'iter': 417}
{'baseline-error': 0.022, 'self-trained-error': 0.022, 'p': 0.25000000000000006, 'mu': 3, 'iter': 418}
{'baseline-error': 0.0185, 'self-trained-error': 0.018, 'p': 0.25000000000000006, 'mu': 3, 'iter': 419}
{'baseline-error': 0.028, 'self-trained-error': 0.025, 'p': 0.25000000000000006, 'mu': 3, 'iter': 420}
{'baseline-error': 0.0245, 'self-trained-error': 0.023, 'p': 0.25000000000000006, 'mu': 3, 'iter': 421}
{'baseline-error': 0.0225, 'self-trained-error': 0.0145, 'p': 0.25000000000000006, 'mu': 3, 'iter': 422}
{'baseline-error': 0.032, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 423}
{'baseline-error': 0.026, 'self-trained-error': 0.0185, 'p': 0.25000000000000006, 'mu': 3, 'iter': 424}
