{'baseline-error': 0.098, 'self-trained-error': 0.089, 'p': 0.30000000000000004, 'mu': 2, 'iter': 100}
{'baseline-error': 0.097, 'self-trained-error': 0.0985, 'p': 0.30000000000000004, 'mu': 2, 'iter': 101}
{'baseline-error': 0.1, 'self-trained-error': 0.0975, 'p': 0.30000000000000004, 'mu': 2, 'iter': 102}
{'baseline-error': 0.0805, 'self-trained-error': 0.076, 'p': 0.30000000000000004, 'mu': 2, 'iter': 103}
{'baseline-error': 0.0805, 'self-trained-error': 0.084, 'p': 0.30000000000000004, 'mu': 2, 'iter': 104}
{'baseline-error': 0.0875, 'self-trained-error': 0.0885, 'p': 0.30000000000000004, 'mu': 2, 'iter': 105}
{'baseline-error': 0.0875, 'self-trained-error': 0.087, 'p': 0.30000000000000004, 'mu': 2, 'iter': 106}
{'baseline-error': 0.107, 'self-trained-error': 0.1045, 'p': 0.30000000000000004, 'mu': 2, 'iter': 107}
{'baseline-error': 0.1065, 'self-trained-error': 0.097, 'p': 0.30000000000000004, 'mu': 2, 'iter': 108}
{'baseline-error': 0.103, 'self-trained-error': 0.0875, 'p': 0.30000000000000004, 'mu': 2, 'iter': 109}
{'baseline-error': 0.073, 'self-trained-error': 0.075, 'p': 0.30000000000000004, 'mu': 2, 'iter': 110}
{'baseline-error': 0.106, 'self-trained-error': 0.089, 'p': 0.30000000000000004, 'mu': 2, 'iter': 111}
{'baseline-error': 0.0845, 'self-trained-error': 0.0775, 'p': 0.30000000000000004, 'mu': 2, 'iter': 112}
{'baseline-error': 0.0855, 'self-trained-error': 0.0745, 'p': 0.30000000000000004, 'mu': 2, 'iter': 113}
{'baseline-error': 0.094, 'self-trained-error': 0.0935, 'p': 0.30000000000000004, 'mu': 2, 'iter': 114}
{'baseline-error': 0.087, 'self-trained-error': 0.088, 'p': 0.30000000000000004, 'mu': 2, 'iter': 115}
{'baseline-error': 0.0895, 'self-trained-error': 0.0985, 'p': 0.30000000000000004, 'mu': 2, 'iter': 116}
{'baseline-error': 0.088, 'self-trained-error': 0.0865, 'p': 0.30000000000000004, 'mu': 2, 'iter': 117}
{'baseline-error': 0.115, 'self-trained-error': 0.1245, 'p': 0.30000000000000004, 'mu': 2, 'iter': 118}
{'baseline-error': 0.0875, 'self-trained-error': 0.0865, 'p': 0.30000000000000004, 'mu': 2, 'iter': 119}
{'baseline-error': 0.077, 'self-trained-error': 0.0765, 'p': 0.30000000000000004, 'mu': 2, 'iter': 120}
{'baseline-error': 0.101, 'self-trained-error': 0.1015, 'p': 0.30000000000000004, 'mu': 2, 'iter': 121}
{'baseline-error': 0.1, 'self-trained-error': 0.098, 'p': 0.30000000000000004, 'mu': 2, 'iter': 122}
{'baseline-error': 0.087, 'self-trained-error': 0.08, 'p': 0.30000000000000004, 'mu': 2, 'iter': 123}
{'baseline-error': 0.104, 'self-trained-error': 0.086, 'p': 0.30000000000000004, 'mu': 2, 'iter': 124}
{'baseline-error': 0.1045, 'self-trained-error': 0.104, 'p': 0.30000000000000004, 'mu': 2, 'iter': 125}
{'baseline-error': 0.0925, 'self-trained-error': 0.0915, 'p': 0.30000000000000004, 'mu': 2, 'iter': 126}
{'baseline-error': 0.079, 'self-trained-error': 0.0825, 'p': 0.30000000000000004, 'mu': 2, 'iter': 127}
{'baseline-error': 0.094, 'self-trained-error': 0.0875, 'p': 0.30000000000000004, 'mu': 2, 'iter': 128}
{'baseline-error': 0.0865, 'self-trained-error': 0.082, 'p': 0.30000000000000004, 'mu': 2, 'iter': 129}
{'baseline-error': 0.114, 'self-trained-error': 0.102, 'p': 0.30000000000000004, 'mu': 2, 'iter': 130}
{'baseline-error': 0.083, 'self-trained-error': 0.0845, 'p': 0.30000000000000004, 'mu': 2, 'iter': 131}
{'baseline-error': 0.106, 'self-trained-error': 0.0945, 'p': 0.30000000000000004, 'mu': 2, 'iter': 132}
{'baseline-error': 0.0915, 'self-trained-error': 0.095, 'p': 0.30000000000000004, 'mu': 2, 'iter': 133}
{'baseline-error': 0.092, 'self-trained-error': 0.087, 'p': 0.30000000000000004, 'mu': 2, 'iter': 134}
{'baseline-error': 0.095, 'self-trained-error': 0.0925, 'p': 0.30000000000000004, 'mu': 2, 'iter': 135}
{'baseline-error': 0.088, 'self-trained-error': 0.0915, 'p': 0.30000000000000004, 'mu': 2, 'iter': 136}
{'baseline-error': 0.109, 'self-trained-error': 0.094, 'p': 0.30000000000000004, 'mu': 2, 'iter': 137}
{'baseline-error': 0.0855, 'self-trained-error': 0.08, 'p': 0.30000000000000004, 'mu': 2, 'iter': 138}
{'baseline-error': 0.0935, 'self-trained-error': 0.088, 'p': 0.30000000000000004, 'mu': 2, 'iter': 139}
{'baseline-error': 0.0895, 'self-trained-error': 0.089, 'p': 0.30000000000000004, 'mu': 2, 'iter': 140}
{'baseline-error': 0.11, 'self-trained-error': 0.0915, 'p': 0.30000000000000004, 'mu': 2, 'iter': 141}
{'baseline-error': 0.1, 'self-trained-error': 0.1025, 'p': 0.30000000000000004, 'mu': 2, 'iter': 142}
{'baseline-error': 0.0855, 'self-trained-error': 0.0845, 'p': 0.30000000000000004, 'mu': 2, 'iter': 143}
{'baseline-error': 0.0735, 'self-trained-error': 0.0765, 'p': 0.30000000000000004, 'mu': 2, 'iter': 144}
{'baseline-error': 0.0825, 'self-trained-error': 0.0785, 'p': 0.30000000000000004, 'mu': 2, 'iter': 145}
{'baseline-error': 0.0755, 'self-trained-error': 0.0765, 'p': 0.30000000000000004, 'mu': 2, 'iter': 146}
{'baseline-error': 0.085, 'self-trained-error': 0.085, 'p': 0.30000000000000004, 'mu': 2, 'iter': 147}
{'baseline-error': 0.0945, 'self-trained-error': 0.094, 'p': 0.30000000000000004, 'mu': 2, 'iter': 148}
{'baseline-error': 0.111, 'self-trained-error': 0.1125, 'p': 0.30000000000000004, 'mu': 2, 'iter': 149}
