{'baseline-error': 0.0765, 'self-trained-error': 0.0705, 'p': 0.1, 'mu': 2.5, 'iter': 450}
{'baseline-error': 0.0805, 'self-trained-error': 0.045, 'p': 0.1, 'mu': 2.5, 'iter': 451}
{'baseline-error': 0.173, 'self-trained-error': 0.1375, 'p': 0.1, 'mu': 2.5, 'iter': 452}
{'baseline-error': 0.066, 'self-trained-error': 0.064, 'p': 0.1, 'mu': 2.5, 'iter': 453}
{'baseline-error': 0.0945, 'self-trained-error': 0.0645, 'p': 0.1, 'mu': 2.5, 'iter': 454}
{'baseline-error': 0.125, 'self-trained-error': 0.1255, 'p': 0.1, 'mu': 2.5, 'iter': 455}
{'baseline-error': 0.045, 'self-trained-error': 0.039, 'p': 0.1, 'mu': 2.5, 'iter': 456}
{'baseline-error': 0.083, 'self-trained-error': 0.0775, 'p': 0.1, 'mu': 2.5, 'iter': 457}
{'baseline-error': 0.139, 'self-trained-error': 0.1385, 'p': 0.1, 'mu': 2.5, 'iter': 458}
{'baseline-error': 0.099, 'self-trained-error': 0.089, 'p': 0.1, 'mu': 2.5, 'iter': 459}
{'baseline-error': 0.074, 'self-trained-error': 0.049, 'p': 0.1, 'mu': 2.5, 'iter': 460}
{'baseline-error': 0.1275, 'self-trained-error': 0.098, 'p': 0.1, 'mu': 2.5, 'iter': 461}
{'baseline-error': 0.0935, 'self-trained-error': 0.065, 'p': 0.1, 'mu': 2.5, 'iter': 462}
{'baseline-error': 0.1145, 'self-trained-error': 0.0715, 'p': 0.1, 'mu': 2.5, 'iter': 463}
{'baseline-error': 0.107, 'self-trained-error': 0.075, 'p': 0.1, 'mu': 2.5, 'iter': 464}
{'baseline-error': 0.0815, 'self-trained-error': 0.063, 'p': 0.1, 'mu': 2.5, 'iter': 465}
{'baseline-error': 0.1705, 'self-trained-error': 0.126, 'p': 0.1, 'mu': 2.5, 'iter': 466}
{'baseline-error': 0.1505, 'self-trained-error': 0.159, 'p': 0.1, 'mu': 2.5, 'iter': 467}
{'baseline-error': 0.1075, 'self-trained-error': 0.0835, 'p': 0.1, 'mu': 2.5, 'iter': 468}
{'baseline-error': 0.1745, 'self-trained-error': 0.174, 'p': 0.1, 'mu': 2.5, 'iter': 469}
{'baseline-error': 0.097, 'self-trained-error': 0.077, 'p': 0.1, 'mu': 2.5, 'iter': 470}
{'baseline-error': 0.0715, 'self-trained-error': 0.046, 'p': 0.1, 'mu': 2.5, 'iter': 471}
{'baseline-error': 0.0475, 'self-trained-error': 0.049, 'p': 0.1, 'mu': 2.5, 'iter': 472}
{'baseline-error': 0.1, 'self-trained-error': 0.082, 'p': 0.1, 'mu': 2.5, 'iter': 473}
{'baseline-error': 0.0905, 'self-trained-error': 0.082, 'p': 0.1, 'mu': 2.5, 'iter': 474}
{'baseline-error': 0.1285, 'self-trained-error': 0.101, 'p': 0.1, 'mu': 2.5, 'iter': 475}
{'baseline-error': 0.074, 'self-trained-error': 0.0675, 'p': 0.1, 'mu': 2.5, 'iter': 476}
{'baseline-error': 0.1145, 'self-trained-error': 0.121, 'p': 0.1, 'mu': 2.5, 'iter': 477}
{'baseline-error': 0.125, 'self-trained-error': 0.0975, 'p': 0.1, 'mu': 2.5, 'iter': 478}
{'baseline-error': 0.117, 'self-trained-error': 0.077, 'p': 0.1, 'mu': 2.5, 'iter': 479}
{'baseline-error': 0.0725, 'self-trained-error': 0.0465, 'p': 0.1, 'mu': 2.5, 'iter': 480}
{'baseline-error': 0.121, 'self-trained-error': 0.1135, 'p': 0.1, 'mu': 2.5, 'iter': 481}
{'baseline-error': 0.069, 'self-trained-error': 0.0485, 'p': 0.1, 'mu': 2.5, 'iter': 482}
{'baseline-error': 0.0545, 'self-trained-error': 0.0425, 'p': 0.1, 'mu': 2.5, 'iter': 483}
{'baseline-error': 0.122, 'self-trained-error': 0.09, 'p': 0.1, 'mu': 2.5, 'iter': 484}
{'baseline-error': 0.0555, 'self-trained-error': 0.044, 'p': 0.1, 'mu': 2.5, 'iter': 485}
{'baseline-error': 0.066, 'self-trained-error': 0.0445, 'p': 0.1, 'mu': 2.5, 'iter': 486}
{'baseline-error': 0.078, 'self-trained-error': 0.0495, 'p': 0.1, 'mu': 2.5, 'iter': 487}
{'baseline-error': 0.068, 'self-trained-error': 0.048, 'p': 0.1, 'mu': 2.5, 'iter': 488}
{'baseline-error': 0.1055, 'self-trained-error': 0.0715, 'p': 0.1, 'mu': 2.5, 'iter': 489}
{'baseline-error': 0.0965, 'self-trained-error': 0.0805, 'p': 0.1, 'mu': 2.5, 'iter': 490}
