{'baseline-error': 0.031, 'self-trained-error': 0.0215, 'p': 0.3500000000000001, 'mu': 3, 'iter': 350}
{'baseline-error': 0.0285, 'self-trained-error': 0.0285, 'p': 0.3500000000000001, 'mu': 3, 'iter': 351}
{'baseline-error': 0.0195, 'self-trained-error': 0.019, 'p': 0.3500000000000001, 'mu': 3, 'iter': 352}
{'baseline-error': 0.0205, 'self-trained-error': 0.0185, 'p': 0.3500000000000001, 'mu': 3, 'iter': 353}
{'baseline-error': 0.0195, 'self-trained-error': 0.0195, 'p': 0.3500000000000001, 'mu': 3, 'iter': 354}
{'baseline-error': 0.017, 'self-trained-error': 0.014, 'p': 0.3500000000000001, 'mu': 3, 'iter': 355}
{'baseline-error': 0.0215, 'self-trained-error': 0.02, 'p': 0.3500000000000001, 'mu': 3, 'iter': 356}
{'baseline-error': 0.0205, 'self-trained-error': 0.018, 'p': 0.3500000000000001, 'mu': 3, 'iter': 357}
{'baseline-error': 0.0185, 'self-trained-error': 0.019, 'p': 0.3500000000000001, 'mu': 3, 'iter': 358}
{'baseline-error': 0.0255, 'self-trained-error': 0.0265, 'p': 0.3500000000000001, 'mu': 3, 'iter': 359}
{'baseline-error': 0.0195, 'self-trained-error': 0.02, 'p': 0.3500000000000001, 'mu': 3, 'iter': 360}
{'baseline-error': 0.0245, 'self-trained-error': 0.016, 'p': 0.3500000000000001, 'mu': 3, 'iter': 361}
{'baseline-error': 0.018, 'self-trained-error': 0.0185, 'p': 0.3500000000000001, 'mu': 3, 'iter': 362}
{'baseline-error': 0.0135, 'self-trained-error': 0.0135, 'p': 0.3500000000000001, 'mu': 3, 'iter': 363}
{'baseline-error': 0.0225, 'self-trained-error': 0.022, 'p': 0.3500000000000001, 'mu': 3, 'iter': 364}
{'baseline-error': 0.023, 'self-trained-error': 0.0175, 'p': 0.3500000000000001, 'mu': 3, 'iter': 365}
{'baseline-error': 0.0335, 'self-trained-error': 0.023, 'p': 0.3500000000000001, 'mu': 3, 'iter': 366}
{'baseline-error': 0.021, 'self-trained-error': 0.0145, 'p': 0.3500000000000001, 'mu': 3, 'iter': 367}
{'baseline-error': 0.015, 'self-trained-error': 0.016, 'p': 0.3500000000000001, 'mu': 3, 'iter': 368}
{'baseline-error': 0.0155, 'self-trained-error': 0.0145, 'p': 0.3500000000000001, 'mu': 3, 'iter': 369}
{'baseline-error': 0.024, 'self-trained-error': 0.02, 'p': 0.3500000000000001, 'mu': 3, 'iter': 370}
