{'baseline-error': 0.101, 'self-trained-error': 0.0885, 'p': 0.20000000000000004, 'mu': 2, 'iter': 250}
{'baseline-error': 0.086, 'self-trained-error': 0.0875, 'p': 0.20000000000000004, 'mu': 2, 'iter': 251}
{'baseline-error': 0.107, 'self-trained-error': 0.086, 'p': 0.20000000000000004, 'mu': 2, 'iter': 252}
{'baseline-error': 0.153, 'self-trained-error': 0.153, 'p': 0.20000000000000004, 'mu': 2, 'iter': 253}
{'baseline-error': 0.0895, 'self-trained-error': 0.09, 'p': 0.20000000000000004, 'mu': 2, 'iter': 254}
{'baseline-error': 0.13, 'self-trained-error': 0.108, 'p': 0.20000000000000004, 'mu': 2, 'iter': 255}
{'baseline-error': 0.1095, 'self-trained-error': 0.0875, 'p': 0.20000000000000004, 'mu': 2, 'iter': 256}
{'baseline-error': 0.1, 'self-trained-error': 0.097, 'p': 0.20000000000000004, 'mu': 2, 'iter': 257}
{'baseline-error': 0.098, 'self-trained-error': 0.09, 'p': 0.20000000000000004, 'mu': 2, 'iter': 258}
{'baseline-error': 0.0945, 'self-trained-error': 0.091, 'p': 0.20000000000000004, 'mu': 2, 'iter': 259}
{'baseline-error': 0.1485, 'self-trained-error': 0.1385, 'p': 0.20000000000000004, 'mu': 2, 'iter': 260}
{'baseline-error': 0.094, 'self-trained-error': 0.091, 'p': 0.20000000000000004, 'mu': 2, 'iter': 261}
{'baseline-error': 0.1185, 'self-trained-error': 0.1005, 'p': 0.20000000000000004, 'mu': 2, 'iter': 262}
{'baseline-error': 0.096, 'self-trained-error': 0.0955, 'p': 0.20000000000000004, 'mu': 2, 'iter': 263}
{'baseline-error': 0.0865, 'self-trained-error': 0.0815, 'p': 0.20000000000000004, 'mu': 2, 'iter': 264}
{'baseline-error': 0.0995, 'self-trained-error': 0.0845, 'p': 0.20000000000000004, 'mu': 2, 'iter': 265}
{'baseline-error': 0.0975, 'self-trained-error': 0.086, 'p': 0.20000000000000004, 'mu': 2, 'iter': 266}
{'baseline-error': 0.108, 'self-trained-error': 0.104, 'p': 0.20000000000000004, 'mu': 2, 'iter': 267}
{'baseline-error': 0.0995, 'self-trained-error': 0.0865, 'p': 0.20000000000000004, 'mu': 2, 'iter': 268}
